name;x;y;z;Hemi;Lobe
A141;-0,58;-0,77;0,26;L;T
A142;-0,42;-0,88;0,22;L;T
A143;-0,20;-0,96;0,20;L;T
A144;0,00;-0,98;0,18;L;T
A145;0,10;-0,99;0,11;L;T
A146;0,09;-0,99;0,10;L;T
A147;0,12;-0,99;0,10;L;T
A148;0,33;-0,94;0,09;L;T
A149;0,52;-0,85;0,06;L;T
A150;0,72;-0,68;0,04;L;T
A151;0,86;-0,49;0,03;L;C
A152;0,96;-0,26;0,03;L;C
A153;0,50;0,86;-0,01;R;T
A154;0,30;0,95;0,01;R;T
A155;0,12;0,99;0,04;R;T
A156;0,11;0,99;0,01;R;T
A157;0,10;0,99;0,02;R;T
A158;0,09;0,99;0,00;R;T
A159;-0,28;0,95;0,07;R;T
A160;-0,50;0,86;0,10;R;T
A161;-0,67;0,73;0,10;R;T
A162;-0,83;0,53;0,12;R;C
A163;-0,91;0,37;0,13;R;C
A164;-0,97;0,16;0,16;R;C
A165;-0,99;-0,06;0,13;L;C
A166;-0,94;-0,30;0,13;L;C
A167;-0,84;-0,53;0,12;L;C
A168;-0,68;-0,72;0,11;L;T
A169;-0,52;-0,85;0,07;L;T
A170;-0,33;-0,94;0,04;L;T
A171;0,06;-1,00;-0,03;L;T
A172;0,07;-1,00;-0,02;L;T
A173;0,07;-0,99;-0,03;L;T
A174;0,09;-0,99;-0,01;L;T
A175;0,30;-0,95;-0,02;L;T
A176;0,45;-0,89;-0,05;L;T
A177;0,61;0,79;-0,03;R;T
A178;0,35;0,93;-0,05;R;T
A179;0,10;0,99;0,01;R;T
A180;0,11;0,99;0,01;R;T
A181;-0,39;0,91;0,05;R;T
A182;-0,58;0,81;0,07;R;T
A183;-0,74;0,66;0,10;R;T
A184;-0,88;0,45;0,13;R;C
A185;-0,96;0,24;0,13;R;C
A186;-0,98;0,05;0,14;R;C
A187;-0,97;-0,19;0,12;L;C
A188;-0,90;-0,43;0,08;L;C
A189;-0,76;-0,63;0,10;L;T
A190;-0,62;-0,78;0,05;L;T
A191;-0,44;-0,90;0,04;L;T
A192;0,07;-1,00;0,00;L;T
A193;0,12;-0,99;-0,02;L;T
A194;0,41;-0,90;-0,09;L;T
A195;0,56;-0,82;-0,09;L;T
A196;0,12;0,99;0,02;R;T
A197;0,10;0,99;0,03;R;T
A198;0,09;0,99;0,03;R;T
A199;-0,49;0,87;0,05;R;T
A200;-0,67;0,74;0,09;R;T
A201;-0,82;0,56;0,09;R;T
A202;-0,93;0,35;0,08;R;C
A203;-0,98;0,14;0,13;R;C
A204;-0,99;-0,09;0,11;L;C
A205;-0,94;-0,33;0,09;L;C
A206;-0,84;-0,52;0,08;L;C
A207;-0,70;-0,71;0,07;L;T
A208;-0,55;-0,83;0,06;L;T
A209;0,09;-0,99;0,01;L;T
A210;0,08;-0,99;-0,01;L;T
A211;0,08;-0,99;-0,02;L;T
A212;0,32;0,95;-0,01;R;T
A213;0,13;0,99;0,03;R;T
A214;0,11;0,99;0,01;R;T
A215;-0,43;0,90;0,07;R;T
A216;-0,56;0,82;0,09;R;T
A217;-0,74;0,66;0,12;R;T
A218;-0,88;0,45;0,14;R;C
A219;-0,95;0,26;0,12;R;C
A220;-0,99;0,03;0,14;R;C
A221;-0,97;-0,21;0,11;L;C
A222;-0,90;-0,42;0,09;L;C
A223;-0,80;-0,60;0,07;L;T
A224;-0,62;-0,78;0,06;L;T
A225;-0,43;-0,90;0,05;L;T
A226;0,07;-1,00;0,00;L;T
A227;0,11;-0,99;-0,03;L;T
A228;0,26;-0,96;-0,05;L;T
A229;0,45;0,89;-0,02;R;T
A230;0,26;0,96;0,01;R;T
A231;0,11;0,99;0,01;R;T
A232;0,10;0,99;0,03;R;T
A233;0,10;0,99;0,01;R;T
A234;-0,50;0,86;0,07;R;T
A235;-0,64;0,76;0,09;R;T
A236;-0,83;0,55;0,08;R;C
A237;-0,92;0,36;0,12;R;C
A238;-0,98;0,14;0,12;R;C
A239;-0,99;-0,07;0,11;L;C
A240;-0,95;-0,29;0,11;L;C
A241;-0,85;-0,51;0,11;L;C
A242;-0,71;-0,69;0,09;L;T
A243;-0,54;-0,84;0,09;L;T
A244;0,09;-0,99;0,02;L;T
A245;0,09;-0,99;0,02;L;T
A246;0,10;-0,99;0,00;L;T
A247;0,23;-0,97;-0,04;L;T
A248;0,41;-0,90;-0,10;L;T
;;;;;
