"","x","y","z"
"A176",0.450850571988867,-0.888177827093282,-0.0491727055360795
"A177",0.606022782003875,0.791147730499659,-0.0264057909338836
"A178",0.352614069232573,0.931770880760895,-0.0502817870009809
"A179",0.102657109897177,0.992398310716287,0.00943198041587127
"A180",0.113056914549348,0.991206355741554,0.013792624032455
"A181",-0.394213150774653,0.914680257939054,0.0521054802020662
"A182",-0.582046042602339,0.806416517429365,0.0694115021352985
"A183",-0.738432861714264,0.662162146224326,0.0959230466913147
"A184",-0.878086392723472,0.451451384691082,0.13066366128862
"A185",-0.956946758940588,0.244218183414061,0.126127914179095
"A186",-0.984765363501481,0.0491341414954253,0.137539850887787
"A187",-0.969497112096824,-0.189956407554176,0.123571845779864
"A188",-0.896889883242072,-0.425209277070064,0.0817899869360659
"A189",-0.762042565340199,-0.634228605328962,0.100201484326419
"A190",-0.617674496988007,-0.780838947418091,0.0512415625307703
"A191",-0.43769808445908,-0.8952995189495,0.0398373480304719
"A192",0.0700643612540276,-0.995286425850765,-0.00434581766649763
"A193",0.120738430482121,-0.990263862645052,-0.016047298471349
"A194",0.413044450569899,-0.903116705885224,-0.0916502828251488
"A195",0.561061054947805,-0.819135117428682,-0.0906126828077593
"A196",0.123427999251467,0.989942039135652,0.0150825880873383
"A197",0.103883020381808,0.991963611375792,0.0257289750780675
"A198",0.0874228926308634,0.993436192715583,0.0299274520184614
"A199",-0.490067092338705,0.866824897001006,0.0530888006779484
"A200",-0.666777776159827,0.735169359816681,0.0912853646200603
"A201",-0.81583921782852,0.563891268612233,0.094011146783252
"A202",-0.929388143778618,0.347892228145687,0.0820635323129943
"A203",-0.976668788697284,0.139556043554672,0.133370477514979
"A204",-0.985083978238061,-0.0887132018003296,0.113358560191449
"A205",-0.937175993299475,-0.325035349013062,0.0872168766046011
"A206",-0.842639381076381,-0.524968521485744,0.0819851231787722
"A207",-0.7000182991111,-0.706286094995116,0.0671535614311921
"A208",-0.546885154796764,-0.831481887914217,0.0617846439141293
"A209",0.085509079408822,-0.994065689107049,0.00723826055426199
"A210",0.079580434906156,-0.994520148352744,-0.0100696444702777
"A211",0.0844638820746247,-0.99403988594732,-0.0156065911840927
"A212",0.315904755545478,0.946130159558548,-0.012043011944156
"A213",0.126173992040127,0.989293381097787,0.0281611720087359
"A214",0.114984754660748,0.991030965341031,0.0101675639481854
"A215",-0.434346006594161,0.895357391598245,0.0653134056783436
"A216",-0.562695666433616,0.818205263346131,0.0888279271164228
"A217",-0.741259414331373,0.655146530624636,0.119241403793983
"A218",-0.877419249771042,0.451444316152114,0.135101899385697
"A219",-0.952346756229622,0.262952432326882,0.123394207904533
"A220",-0.98522451475859,0.0312301344672706,0.13946564852744
"A221",-0.968098306017544,-0.207011220176439,0.105888833220829
"A222",-0.89663843481119,-0.42459853790476,0.0875612740136634
"A223",-0.795354579348567,-0.596346946997047,0.0669503050794413
"A224",-0.622833800307339,-0.776029807820734,0.0608300209650159
"A225",-0.43117978538757,-0.897855468601274,0.052116980981284
"A226",0.0736273461488321,-0.995038647244033,0.00301807471724409
"A227",0.105889946899714,-0.991512629855461,-0.0336394807534034
"A228",0.262345918141907,-0.961387182600416,-0.0454855294710355
"A229",0.44935644948343,0.890017540206104,-0.0244154349526981
"A230",0.260929466531056,0.962800448672072,0.0115360112196965
"A231",0.110796086656069,0.991494412929698,0.0115351041739144
"A232",0.0952362377340912,0.992655447674668,0.0317221719481019
"A233",0.0997035798715015,0.992715703918127,0.00786391144967093
"A234",-0.504311485249836,0.857704672946048,0.0655791030064101
"A235",-0.638512011237105,0.760381423158479,0.0877034813215171
"A236",-0.827090324001545,0.549985459764917,0.0759608031106488
"A237",-0.922004386671515,0.358011126854165,0.115395942418572
"A238",-0.978633814664119,0.135771855325937,0.122354082830987
"A239",-0.987273058429308,-0.0665902422329015,0.109275757880038
"A240",-0.945353944725179,-0.291072324071789,0.114402284478908
"A241",-0.848123337821581,-0.5100740133859,0.113406197467534
"A242",-0.709936614297713,-0.693186852245342,0.0939819675087189
"A243",-0.537427601681391,-0.835213496819694,0.0891383258654061
"A244",0.0868663969125892,-0.993844394925844,0.0164599061277627
"A245",0.0876925589620454,-0.993710151173092,0.0199918436096808
"A246",0.0969175938027711,-0.993033368784979,-0.000145810466265805
"A247",0.228927269118767,-0.970027407034188,-0.0433186621039757
"A248",0.407386881512581,-0.904957037960196,-0.098589693775133
