name,x,y,z,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,Hemi,Lobe,HemiLobe
A1,1.1989404983041558,-0.522335841413376,14.87689934906286,20.160057136212526,16.030645053730872,12.131259234260694,9.233065352035366,8.005544671469385,9.04485320142893,13.150234221187903,19.863779603459104,26.21333482873155,28.95900974425928,27.770679768148092,24.924711204567174,22.736474159076494,22.031012172153854,22.26827502298053,22.389028088203844,21.58931474961486,19.74082584977061,17.38744872564429,15.275219066873458,13.662951625751338,12.18947326302694,10.555647945644775,9.078923194210656,8.356129846952694,8.483616057190503,8.82485022783045,8.624957305299132,7.815066737625784,7.073364551116255,7.008401841883956,7.483784585584812,7.890144691257583,7.863756552347789,7.546289109255491,7.331603881912925,7.507936915304572,8.034925311030186,8.628600179262271,9.065276945633459,9.232386632387232,9.032618049043368,8.460893012446732,7.676356567114124,6.855247799527227,6.053888094558584,5.273141076958843,4.578535256290912,4.0974043105664375,3.9068541014085145,3.971639706729392,4.2192605688832545,4.578842796652598,4.9016295617797265,4.984824844178537,4.748129935286444,4.300968969448501,3.8183598014249744,3.4083465359531426,3.101976731778788,2.884562142074849,2.6970366850068,2.479154407929695,2.2315230619126503,1.9978285390010306,1.8033337340205404,1.642303144590338,1.5001794267981239,1.370074432268991,1.257721637798898,1.1692560747697076,1.0933861947374421,1.0080318922920786,0.9030731162813439,0.7897395374829383,0.6874655655131178,0.6074664037026972,0.5498870027782778,0.5111998224674896,0.4902611259088353,0.4830100977670556,0.4786758655248465,0.46766685755977655,0.45105407429486194,0.435291337401036,0.42090254444390607,0.40206519062180346,0.375081994838504,0.34269713802684176,0.30941190574252697,0.27782912522166947,0.24885285121803766,0.2223643372879566,0.19827535420304848,0.17685050708845035,0.15886775085185043,0.14488002877533096,0.13492586862516456,0.1287859576088965,0.12600492880859493,L,C,LC
A2,2.5299888129780297,-0.7351053746308785,14.69925785427468,30.251840321359627,27.096564532800524,23.365291766451158,20.912318448789943,20.011127657497727,19.615246754312725,18.87546126872686,18.00560248838354,17.48574685606321,16.970041622411443,16.002594944268303,15.383690468201427,16.630669845767944,19.907939994316685,23.27823435924682,24.366821911070982,22.43929773882474,18.638691369110077,14.588069786133271,11.316678465101052,9.248305024430127,8.348218691198417,8.14988620972848,8.116570042420134,8.058873124491978,8.113961780688026,8.372790940270217,8.725463187793858,9.000389205940834,9.105038315769455,9.037314887619301,8.8379871218339,8.506622400131704,8.01583320719202,7.462537411600831,7.086000288008722,7.014858926194815,7.102186371384572,7.095434077818171,6.9378156981437265,6.684958058209182,6.32901182639275,5.867914226717625,5.406418994124248,5.06419888130418,4.882052220611225,4.840824805768771,4.923008719515446,5.109342253980566,5.312164855940782,5.43364367280881,5.52085096455386,5.721618816517264,6.062453206727069,6.378234100206669,6.447441992566222,6.121327332378084,5.42317981215407,4.554688058410071,3.7507607626564723,3.124057651326655,2.665009772056662,2.3337134438617277,2.108071919601715,1.967694553625753,1.8763560232303005,1.7910506542552462,1.6763910285532848,1.5205857588764558,1.3494855556244212,1.2088896738887376,1.1215212211682155,1.0734451333165007,1.0360383057600515,0.9901823379219581,0.9329745790679901,0.874377400674856,0.822518655026157,0.7738579608785058,0.7191218109642287,0.6552295411216159,0.5892202756248401,0.5382679216859846,0.5205780043081387,0.5376061106426545,0.5669950973606029,0.5786058885794487,0.5562526326920375,0.5032328201218864,0.43368497545610135,0.3637652758477979,0.30489083721215565,0.25963110706234876,0.2257369021365492,0.19937603398844703,0.17774977744794362,0.1590108499195846,0.14319197338879164,0.1315062685370348,0.12463171249580147,L,C,LC
A3,2.9751347162653348,-0.0981482094820245,14.632807994859,3.0606232400545936,3.1050938616824744,4.168375877678745,5.731149278091094,7.02484226099135,7.705318183467129,8.050236281740194,8.313823082131297,8.229006351498573,7.516274149905006,6.545472751536178,6.021282848574871,6.182787345135833,6.6167962604949215,6.767528159071082,6.430059435745001,5.798752805072061,5.251305265079012,5.027305580062555,5.000570005157433,4.857018274255846,4.467259340729733,4.001193785165325,3.7330558625998744,3.7591543666913916,3.9338724598294927,4.0576674750452035,4.057658508118302,4.020481841934447,4.038112834803553,4.035542759649905,3.8700281979024953,3.571975729458338,3.3240992286489175,3.2266505618044325,3.244395021727785,3.322882763194556,3.3992229832872005,3.3801772638343865,3.2326387133194414,3.044774738714428,2.932800914472812,2.917404843855012,2.9068736831728157,2.7879072470670443,2.5592604669854158,2.3637415885617146,2.3452488367307467,2.525760252656476,2.8628624991418685,3.332038382408685,3.9022380359394457,4.479618653668863,4.900716301846341,5.005681004515359,4.741861357265927,4.193756997764791,3.5233809212176186,2.880661082976774,2.3474021659096196,1.9331977220205974,1.6132593517722638,1.3639367948695074,1.173399221172548,1.0325799500400614,0.9294392516009128,0.8525289748575146,0.7920129347786483,0.7367103085400705,0.6808512880932766,0.6278446043236245,0.582597214992045,0.5433832355563993,0.5035291856652216,0.45940435834957744,0.4137954855121829,0.37158659606461164,0.3353428700620708,0.30604218517095927,0.28462115101680724,0.2698258239380436,0.2575169880828458,0.2452165337241728,0.23553173380905948,0.2309756774374105,0.2281703047149811,0.2212918378694999,0.2094115011215199,0.1962927200674371,0.18531787045021705,0.17757169194867264,0.17281947769935527,0.1699965692627181,0.1671883877437244,0.1619958100831657,0.1527796122015136,0.14020999615354982,0.1272236443630034,0.11719004550095825,0.11169548992495108,L,C,LC
A4,2.97959975062563,-0.2472931119141825,14.630275831554824,8.255949010470227,8.957684109355714,9.75400150713279,12.227020305423933,17.66797972983226,24.574314520765007,28.89917383861239,27.838616525445133,22.37895514940224,15.778200336220177,10.577734625743403,7.413261446843748,5.798598216881726,5.13303561860577,4.976558550805351,4.92543128204032,4.645457429396974,4.066056903914063,3.3997470361058904,2.892157439498386,2.575113063200897,2.3076250136116006,1.9867786856172216,1.6374198086741778,1.3496181628617763,1.2008580770103139,1.2351540630841176,1.4590159575687407,1.810562098820305,2.152952776198268,2.338019032396117,2.2953894910914068,2.071578318277286,1.7863174100837478,1.545510315891051,1.3944043974626075,1.3438942187803355,1.4314274732994863,1.7551315675903156,2.33491137807188,2.954597107823307,3.3162024861630477,3.3436759672788114,3.162393018646073,2.8821453252072295,2.570937450862231,2.3279175859646344,2.227064349393729,2.2393917823766354,2.291291969839664,2.3639296017320115,2.4664134423374215,2.538161791907942,2.4681096537886433,2.2197677889728804,1.8734716931161477,1.543619030683904,1.2930522537165736,1.1256030788980091,1.017200285091069,0.9382850260410464,0.8661937004836822,0.7935104377765275,0.7270148956209526,0.6773535369261104,0.6484950446177162,0.6343426839048141,0.6241509434326772,0.6097912337435504,0.5909694521125173,0.5716950828868445,0.5513468725486504,0.5231972507417595,0.4842449247114401,0.44187165691814684,0.40629785484654496,0.3810919098961307,0.36465108958628434,0.3566002944420092,0.3587019323110069,0.3688630913863307,0.3784185084865479,0.3777898051321263,0.3650934948876544,0.3482088681896707,0.33840451451454145,0.34045286130436964,0.3479006491265139,0.3493713977754462,0.34040721630258797,0.32628580090383635,0.3143209708029344,0.3070110410763348,0.30318392631653823,0.302263167286442,0.3032402124816189,0.3031533082260567,0.2999244354129786,0.29475717840756827,0.28967762003625463,L,C,LC
A5,5.96518055452452,-0.2956320648193035,13.683900380745614,8.770155014995009,9.836301832485837,10.45288852448376,10.141295660002543,8.949222859645467,7.445960803164881,6.267023814551969,5.53663736456498,4.9109602104082635,4.202747264629008,3.6452594181239917,3.541974725594233,3.983034941774033,4.8772348604090565,5.952960650755075,6.770623396129522,6.966772832364956,6.545357576257824,5.8403574520152555,5.191190085447726,4.722292865227684,4.360669710930508,3.994187176299412,3.6300855123224145,3.378100349390732,3.309727407292061,3.406077518368324,3.615868727538383,3.9047953360068517,4.188218996383844,4.285000941953508,4.079170673584962,3.6806527855182254,3.3266649874029577,3.1668152936709046,3.180101052199839,3.2339759921354805,3.1799942146752875,2.956878472629489,2.6461239623997956,2.4116708218152842,2.351639374391355,2.42025761467136,2.4895419994831727,2.4513024708819953,2.2926498794843875,2.1294513943595974,2.148059272283028,2.491358719527328,3.200124337640303,4.198762852213587,5.259415615569058,6.0332623754448065,6.259938054767796,5.958999713111371,5.337291344718667,4.575453519278761,3.777831578985822,3.025819254782627,2.386374690699568,1.888306470013026,1.5233487009579418,1.2673147000960996,1.093949453712264,0.9744999400327848,0.8825518380433354,0.8042550371685049,0.7365793377613522,0.6794223717485843,0.6317149169567633,0.592093315330634,0.5555774997993729,0.5128181140808798,0.46044605720705123,0.4079490295887208,0.368522665589324,0.3462853559143374,0.33526142596134323,0.3270371299595434,0.31592311227727404,0.2989859310737695,0.27522720999727773,0.24761102180085456,0.22363660598932697,0.21083082605309217,0.21046311452610836,0.21583865337514024,0.21782889529860322,0.211775635137447,0.1996503515803175,0.18686353917192053,0.1780133710105867,0.17387501512942583,0.17123006597903143,0.16652197286985018,0.1589022723725315,0.14990329065203079,0.1414389405650432,0.13462550412414515,0.12970289009429717,L,C,LC
A6,5.96165414028705,3.07940328468057,13.33630677675543,10.785708544971977,7.161559463522806,4.906544940823036,4.700147175153718,6.402307820668211,8.820353074445654,10.286367594372136,9.948335150761645,8.22343967536401,6.084271925790398,4.279146217159715,3.0906470600531675,2.462053283025475,2.2451208115061867,2.3632670588746385,2.721854371252976,3.0616851769585995,3.127206127090209,3.0014072388076003,3.0477665423983837,3.404114913920062,3.7408086970071746,3.6545099362688487,3.1244685539541637,2.4692074966539392,2.005506435191782,1.8367293597130316,1.8815623032840987,2.007262010524235,2.113150337950688,2.1412160765966877,2.0658163611011795,1.9095640071586262,1.7650630492324095,1.7431731290881256,1.8533254298352273,1.9905460872163312,2.068910589360765,2.108740360606709,2.165822147960861,2.236245956831148,2.279485873045272,2.3017022480679814,2.3377064790535216,2.3565959890507244,2.2757028736738794,2.076266665165313,1.8323137853810758,1.6304340472175267,1.501730098122839,1.4279330206745895,1.3891639706064682,1.3727896477616244,1.3477078730425096,1.281051318649346,1.1780702610717086,1.0722495200103848,0.9803151820161795,0.8923546414951399,0.7984266785668656,0.7029147542849159,0.6160126344153477,0.5458296029810478,0.4958271884682312,0.4638244149456592,0.44384440301727673,0.428754374831916,0.4093025043955827,0.3789971749279853,0.3398067036461454,0.29984196543771907,0.26581272266347344,0.24070498772312776,0.22586164828455135,0.22081929372603265,0.2218694895436373,0.2237182421271984,0.22315317163636225,0.2196581279502184,0.21356220783065735,0.20496472886220526,0.19419948269529158,0.18258887936798826,0.17305989476363123,0.16904298306100857,0.17210540450425013,0.1802569067017386,0.1884276987111512,0.1911458982767986,0.18639682254126652,0.17686924883394056,0.1672180483097006,0.16033608276597489,0.15607221602226648,0.15316362861528765,0.15094463456317964,0.14891635841291997,0.14626396171972544,0.1434044689372999,0.14211443027089884,R,C,RC
A7,3.04043471956596,3.3928383716103903,14.219149318526819,9.76308680567341,8.768963110209569,8.684005361044818,9.820609501907281,11.953480666618534,14.30782094420324,15.615941728270975,14.821471027578232,12.08690778512822,8.77907060875614,6.484548452043728,6.118945085476375,7.568888974449093,9.751627513393062,11.272931758201956,11.386957387096654,10.29928405931006,8.722574994178558,7.349038170596991,6.559462742019327,6.329637522683356,6.349218240377301,6.294085184665428,6.0159674082759595,5.525187663038963,4.953715382165583,4.511831631697481,4.380390444339231,4.571739455464089,4.901339376634807,5.135246332363444,5.141920184256753,4.923623315671925,4.5347832083067585,4.0211778005478624,3.471312513545918,3.039838883401258,2.849040860970692,2.898112670289922,3.067426151780142,3.200741460298554,3.1896474159777437,3.0129308774586305,2.721940105815643,2.421776692336646,2.217206426781071,2.1384035565622392,2.1637286708100048,2.315732118659557,2.6584946649612315,3.201586955989579,3.875843168760422,4.557076421755028,5.051389091910008,5.15974353934318,4.834741564044096,4.2161981524877685,3.5033628889914326,2.843506417151713,2.3027549114227477,1.8813500645274044,1.5570675262143934,1.3242436263780126,1.1825157391358971,1.1003820278255563,1.0216966556363418,0.9126064903545075,0.782272044956437,0.6594252504086064,0.5612136525987915,0.48757761606274314,0.4324869592737813,0.3908451155682933,0.35839319285730237,0.3319492897944872,0.3115470959622773,0.29767557229778385,0.28812222469604126,0.2792671943951242,0.2680759298209412,0.253133836866703,0.23458093126134605,0.21469506820126558,0.19703345435852124,0.18463603851398658,0.17846386536444955,0.17656941318243374,0.1748087118283665,0.16960809117324607,0.1599469775969252,0.1473450515257782,0.13464885063615137,0.12435144229625208,0.11736615093120777,0.11294774315556928,0.10939143031648486,0.10512896196865602,0.09999110637221202,0.09548741519123626,0.0931796296617568,R,C,RC
A8,2.802738798815985,3.42099932433063,14.261352861740969,22.344555337674798,18.835455009288612,14.78140976779839,12.252569846907031,12.196789485665544,14.000982229003924,15.87650653946926,15.996669083018134,13.865243194937491,10.617451509622136,8.120615433517308,7.792380066838369,9.768467496148205,12.817240672462718,15.275902004641068,16.17638024879125,15.471918868633123,13.654098621899823,11.441980392869679,9.514177152345592,8.11177258976732,7.001342061921393,5.959734762433896,5.101213047979799,4.7029459662491835,4.9168001279786155,5.638575296875986,6.474742166267512,6.934033059598027,6.803618509159595,6.29148469509112,5.753871281793706,5.356033232032416,5.038898881151648,4.7396190861407845,4.511459903589237,4.403924389344602,4.344396620030042,4.217777772948456,3.972707990648924,3.6318200292255804,3.251614693616693,2.9074766872077404,2.6538784114364544,2.5093691590369964,2.4814456900615673,2.565717913372089,2.755101886408728,3.0830020004613443,3.5827559795203103,4.192102890693724,4.78837584183598,5.285408721436684,5.608148382086583,5.641471849581296,5.305518773967302,4.657097656984409,3.8701775947019477,3.125336725435203,2.5171940060438716,2.0484630999052844,1.6899617688646222,1.4294006168454338,1.260397239467418,1.1489971792815636,1.0426425756582187,0.9135550001073521,0.7795257787799879,0.6794103761298903,0.6338295083015119,0.6291226669684993,0.6347690192076082,0.6283024231310798,0.6029118653994318,0.562094899060613,0.5164994251552891,0.4773763517534612,0.4475936947029346,0.42221896298952405,0.39450435556420177,0.3626255035708213,0.32911507491311565,0.2997843931251973,0.2798703759687784,0.26912432931080454,0.26177648938865083,0.25191002969161186,0.237823936140224,0.2210430204954591,0.20286320222629184,0.1838653461121661,0.16565758888686896,0.1509884151728321,0.14142113545303162,0.13579145664125286,0.13151809511136944,0.12693812254798748,0.12160776477285272,0.11606379253946292,0.11126577257029283,R,C,RC
A9,2.963253112426815,3.309084603791535,14.255169109839585,6.103656033663092,7.063333563648948,9.825470538075951,13.786517749371512,16.861318197642593,17.44917139152563,16.061284471456425,14.381099451327538,13.315286513552405,12.420786559308128,10.974146163022263,8.98543027363127,7.127154395146885,6.100266039353521,6.160852434003196,7.000167141183606,7.916379291743567,8.206928394589614,7.599929578143118,6.411528910359675,5.298634158460975,4.787165025748616,4.925132801443037,5.308296727828536,5.437520273345322,5.099982330318457,4.448437363290977,3.784618653446516,3.319243938309513,3.1088361660853727,3.128016471425463,3.3260516476796202,3.6208061788800388,3.9039023966218647,4.102525199454265,4.205509407034934,4.235772826344264,4.222247443195375,4.190963735681098,4.17943550762328,4.243610497207168,4.38963013244545,4.521396583729621,4.521896276248396,4.340860603031155,3.985149498644633,3.506880321817129,3.01409059310504,2.613366804306796,2.3358081009853877,2.1492274285408905,2.0157408568640505,1.9045004874147367,1.7822430177638824,1.6344884931956343,1.4767109538431167,1.3346787712173303,1.2349833810728454,1.195560928517125,1.2017127054766916,1.2147509799433982,1.208985430699028,1.1871948841259548,1.1629488545145732,1.140108226215019,1.109915989507879,1.0608806717700776,0.989229496544874,0.9008659648450834,0.8089862638081711,0.7285244943220868,0.6661249471345325,0.6190506457944921,0.5839894908837318,0.5615161091667675,0.5525744146737117,0.5498327587123768,0.5410452488453933,0.5223375085301765,0.49963392673734647,0.4813940938697522,0.466333853175046,0.4469680547134639,0.4205652390544002,0.3926983365430506,0.3695178080063345,0.35057883896878334,0.33213248122260625,0.3138504511707541,0.298797997257737,0.2887095533147288,0.2827073781721743,0.27901834883015575,0.27687065998708266,0.27577063389473316,0.2743146836318373,0.26997455034646883,0.2614972066732995,0.25114961286220655,0.2428874718511737,R,C,RC
A10,1.4180965008049635,3.11344958320392,14.535062081874871,7.554540593400168,7.171271532983452,7.707407753019941,8.582693021535697,9.215449505547884,9.577860930910967,10.241840934657475,11.341284098120816,12.018748768240934,11.526050611049186,10.313938958172722,9.340107293786648,8.77609108875557,8.043295559954553,6.8386462935724515,5.585661921225407,4.885867749710549,4.843394532393185,5.070376211917623,5.2392075255132875,5.408865274621053,5.727004650925803,6.046048181955647,6.051874629755773,5.604422478703793,4.842250734441057,4.064500861351158,3.548140064342208,3.3901235515123997,3.473163585884021,3.6048625858603365,3.719102210823854,3.9072871986607507,4.2475520652948,4.678654870508475,5.068752360580326,5.352127144498887,5.526047229105401,5.588720730817751,5.551833806180993,5.472425074251658,5.378728984841444,5.213041081443521,4.893322809935035,4.413722302799245,3.85975723116434,3.3434868808865956,2.948389716679964,2.7045205694966037,2.577231065619719,2.493360624101491,2.4067451724207083,2.3188293817421624,2.2288144904819647,2.1143656734212555,1.9707239809416386,1.8351065544163665,1.7528732189579757,1.7229713032384564,1.69443898321869,1.6234329196968487,1.5083035587644205,1.378732455586459,1.2658220971988483,1.1781589364136147,1.097899181174972,1.007332706892225,0.9149785942400768,0.8465689610363997,0.8123033759636822,0.7965603783844534,0.775727018621058,0.7347534574776058,0.6725182614004664,0.6004545789917795,0.5361254793126456,0.4911237443216485,0.46522808516157194,0.44990015660810456,0.4339642907315828,0.41098289131944316,0.3803613046706008,0.34485623824008704,0.3095407523405053,0.2811515115342576,0.26362889817737784,0.25519636248215105,0.2507423609477732,0.24483592267322696,0.23387083189638688,0.21782840467738399,0.199978063964477,0.18424215781986605,0.1728895933673208,0.16526114632699732,0.15907564069058225,0.15255459375216396,0.14592112394099505,0.14072266493829533,0.13807647306725987,R,C,RC
