name,x,y,z,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,Hemi,Lobe,HemiLobe
A1,1.1989404983041558,-0.522335841413376,14.87689934906286,12.090695065564654,10.18421167638226,8.681080440061784,7.8719109104583636,7.621549649149215,7.434497445208274,6.899243410673332,6.116159547522524,5.527270770406657,5.309277742438627,5.197641955872874,4.9278725347837105,4.570260577362202,4.421110856021748,4.734582784049405,5.459945941619199,6.181324899952787,6.404395885201825,5.963826746000548,5.1225783857342435,4.279103182597762,3.683820284004432,3.4038093511073195,3.3739105183304376,3.440216899159092,3.4596449458263003,3.383239251852018,3.240975586205688,3.118456562158656,3.134802760795252,3.33579902742127,3.6137026891971322,3.8443797753520146,4.101350406026727,4.527550196098503,5.028880604388329,5.337510886347108,5.320855615196992,5.185906155693871,5.147029991823396,5.197369776683096,5.164336669454606,4.981114251015372,4.682930445125464,4.275527232183898,3.7567743196391006,3.248521744036821,2.9499301130467277,2.9398007396977492,3.102101784491266,3.237890862599372,3.196352601023871,2.934995728803395,2.5283647960473474,2.127724106077252,1.8653956066134787,1.7676934193838914,1.7706014573717375,1.7976399871640787,1.8044013233671534,1.7968809002170683,1.8414611869861077,2.021136171825994,2.3538949507349236,2.7790522676039746,3.2013064532980042,3.5243448699977367,3.6731531185711073,3.6129114692035724,3.3530355182572227,2.9377984504754715,2.4361930785956023,1.9273121207651571,1.481134825984907,1.1398641811662944,0.906783321669755,0.7526179171145834,0.640456525623236,0.5474007378968657,0.4674029616684421,0.400243423782976,0.34435298247963414,0.2979982950376195,0.2614870683435206,0.2352314974090892,0.21820012146537202,0.20878861243937832,0.2049236280933077,0.20317997054379014,0.20025312398686793,0.1949559696214246,0.18755620454778746,0.17844723504387808,0.16889662079388093,0.1616750252757912,0.15896255675003024,0.15970266894872126,0.16015829291366734,0.1577147093268985,0.1529484802897553,L,C,LC
A2,2.5299888129780297,-0.7351053746308785,14.69925785427468,9.286847989406338,11.86065205799581,14.128484450904054,15.585057746138496,16.199933915489556,15.93392627714917,14.48087213186587,11.889167022963623,8.884755602852673,6.2754239469551605,4.433548831889476,3.4275599923755875,3.268864341312974,3.9199250189087715,5.120614816320551,6.277149661139122,6.789966808704228,6.632247364645456,6.405649346566408,6.5973347475859425,6.989432007864774,7.084764737338119,6.800767359842755,6.414190467351997,6.172774371912735,6.176168709481979,6.355685653789489,6.550276457094192,6.742580060548367,7.043957248446852,7.421775824667558,7.706525115198522,7.825482877213964,7.8791382233546745,8.106124111492242,8.755272123314526,9.745019752621618,10.50462495975205,10.512217410164903,9.700032440985275,8.439457213401205,7.217061039056258,6.434869563663276,6.192798216319558,6.250151787299231,6.246906345342442,6.031529591302945,5.784634073541398,5.903147502628116,6.763909182260983,8.386774304157678,10.193971994551022,11.264870865575414,11.019151504803576,9.639687910632688,7.805485940527138,6.149786009171315,4.967813304425001,4.263672351595758,3.9276508575931564,3.8669623815368204,4.045827398860256,4.450958454176752,5.048116330406259,5.796381424451553,6.637827901391831,7.411821918725495,7.83845134494882,7.665823368457613,6.881948222052569,5.726550828492371,4.504753606032225,3.4295467224572675,2.5978514847873186,2.0254367175610737,1.657826094388302,1.4048956740712815,1.1963012234968982,1.0098929999455994,0.8531179407212066,0.7289921521079046,0.6274150569124477,0.5393668108387382,0.46731162038590635,0.41655689310979205,0.3828389054320458,0.3541621293787732,0.32265957665089645,0.29037629500837403,0.2632088780426378,0.24326448567457717,0.22739292358070765,0.2112788367128992,0.19360587465855092,0.17580880447704866,0.15991785998894184,0.14634234479765376,0.1341586914294917,0.1232958335875613,0.11535948773096728,L,C,LC
A3,2.9751347162653348,-0.0981482094820245,14.632807994859,3.5723844390982715,4.533403530790644,5.550676326611545,6.116889924700411,6.291095332006648,6.661430626520689,7.827150855603208,9.633838765748983,11.150241718709008,11.577419129764838,10.941270402434288,9.949491720613416,9.34545680963521,9.281190418931244,9.234271929288674,8.61978082192088,7.419177960114518,6.094813871214951,5.019770716681655,4.209190019942709,3.609216847194612,3.3936641303159374,3.9303801034217307,5.334563517977716,7.010399900032816,8.023945097105393,8.008661025046884,7.4624259975355365,7.105251447374222,7.115922364022281,7.092488544912942,6.654775860765686,5.902522085789209,5.20228628185906,4.7751138483492435,4.683411095926848,4.901840262391838,5.168376075697916,5.1856467516531755,4.945684887392937,4.765313623313647,4.8835202793247845,5.210614971346321,5.3948446597099675,5.213129935636428,4.836864914867935,4.7087350771260965,5.230492867140266,6.694362682523562,9.376859784475254,13.13824172999409,16.765300924685455,18.411921445878715,17.19847792620005,13.926287046007674,10.218748696236004,7.215248006030862,5.195545815732648,3.9336723078708595,3.1326996197977692,2.6084956966783874,2.2784131044977856,2.0939498018711844,2.0175107728567645,2.0313646524697977,2.1113795376971,2.1820863916020388,2.1439681973237996,1.968072572963637,1.7216222834221329,1.4883662937334405,1.2959236960619709,1.1257089826283655,0.9624600799113694,0.8093957636361181,0.6751270493945489,0.564895297924101,0.4815403981810731,0.4250204801531821,0.3896504259930605,0.36438538231042583,0.3379550925087324,0.3049802057504375,0.26947837174956385,0.23982449661404612,0.2204581712852464,0.20961542041319486,0.20316244599431846,0.19793971854216752,0.19341760905140315,0.19107550869454681,0.19109822840928037,0.19034401552402944,0.1854316718472691,0.17634658913478385,0.16618482482550898,0.15744633602393868,0.15064337667711744,0.14571730942348315,0.1430781668640295,L,C,LC
A4,2.97959975062563,-0.2472931119141825,14.630275831554824,6.035986379122206,7.415356733253447,8.216593055097226,8.557499978756805,8.702687625126787,8.656221983969443,8.243530177837348,7.509080043462742,6.772814508852562,6.235268391583743,5.773008709151706,5.190251421678596,4.451609490839761,3.637702606512865,2.8536244443422927,2.202419893779129,1.7659791386762356,1.5755735408393663,1.6147308620148346,1.8384649144948273,2.1664447891475374,2.497212590854294,2.744875571012447,2.8438611792072157,2.7504139678576704,2.484252515211181,2.148919452874741,1.8816041207896141,1.7559014106249766,1.7482668223324473,1.8024092807436305,1.8842041989885934,1.9898175066952473,2.14836266685072,2.378763822930253,2.5953671061440966,2.6338463608449834,2.4290171772543645,2.1127437229096957,1.9059537088606182,1.9147493042903503,2.03262499522505,2.073998539443452,1.9486283779822728,1.7108266384579118,1.470510190818627,1.3070305501982151,1.2581359749796792,1.342879703226234,1.5602163658946815,1.859508954375877,2.140217983128812,2.3030352640877583,2.3028266405866757,2.1537826068674693,1.9044860401974555,1.618276152108274,1.3617503061123415,1.1797887036467851,1.0775105919831323,1.0313804520443464,1.0131903345980526,1.0035688116563743,0.9922585077936577,0.9737122453040152,0.9431798177419191,0.9014664969274034,0.8525698908307442,0.7994207446120958,0.7353914188010936,0.6539301372479578,0.5632734237471356,0.48272434402965986,0.42573381246424397,0.3913029946673125,0.36997046273145856,0.35416652419611167,0.3409946577127168,0.3314871896746108,0.32788270989145324,0.32808563922042605,0.32418459514689973,0.3097128219778249,0.28769695858184047,0.26818579417325944,0.2591714830769749,0.26111914902243893,0.26935576536929207,0.2792886888091109,0.28847152700748363,0.29503289449119413,0.29694422368739537,0.29300603458680563,0.28429283789802673,0.27258324451150195,0.2601890642588007,0.24902939815142525,0.24080661417458582,0.2358828137318732,0.23332203521104417,L,C,LC
A5,5.96518055452452,-0.2956320648193035,13.683900380745614,9.193922381426262,8.830335467135281,8.277766979280466,7.290460076893662,5.979702034068152,4.746567939152948,3.93408897830233,3.5182163103935173,3.240888881101079,3.0874368486598613,3.442856485073965,4.541640062465428,5.899521681255809,6.603989849396633,6.177790172533573,4.968284195919988,3.709302570825508,2.849502834314254,2.3665104384733446,2.0841738823257483,1.9475938908176544,1.9911558241332112,2.2097921555432647,2.5072708726348605,2.715936480058717,2.7449366604494365,2.6920036179780213,2.7257099771283317,2.8855679947649917,3.068716040969321,3.1518980148445683,3.1041061302897326,3.0005892790299025,2.9474191747622043,3.0132333944846788,3.2542217755141762,3.65779356627534,4.0055687330833845,4.068257774550529,3.8402489960084387,3.5156078477600197,3.2216982075932674,2.963119270345318,2.675935832059367,2.355144368556953,2.0900174485731515,1.998259154221639,2.1860821018081142,2.799065529812834,4.008093315072524,5.72994823112476,7.3558684401829,8.054897857885951,7.516608563965595,6.147748661598865,4.643452376671967,3.436587323938098,2.6109135329173276,2.0778513563095125,1.7427523006590158,1.5414185325588354,1.4273045058372258,1.3627425686644712,1.322396060641419,1.2969366232595234,1.282139279449744,1.259193906827525,1.2006878182816434,1.1034287116502501,0.9935432092958452,0.8942462005215502,0.8041164968996335,0.7081698036080017,0.6003325880960165,0.49139928733523314,0.3979341671409305,0.32951323998687365,0.28666649447970494,0.26330487511460193,0.2507519287159666,0.24055693531885214,0.22726362458018742,0.2099196943234214,0.1917901211781361,0.17736873519350585,0.168925240343853,0.16524627739373354,0.16285114790112337,0.1580583971979482,0.1500580639385274,0.14174070116600204,0.1367125259233874,0.13576412698812193,0.13642802114917876,0.13559797193547604,0.1317063485990343,0.12549227655283823,0.11881506990413294,0.1137463832522376,0.11125860677569033,L,C,LC
A6,5.96165414028705,3.07940328468057,13.33630677675543,19.24055489562827,19.593302516356655,19.15406917070775,16.851113132137193,13.270583635811304,9.724763635968031,6.942353334466973,5.033344268439944,3.990611589721929,3.7492520367891666,4.0436009686171825,4.500088537413728,4.871492353347502,5.230831192472985,5.841541594690366,6.652095272772374,7.214031000132831,7.203565288771327,6.677229181440224,5.8415231296933365,4.849103249504828,3.7958906107906945,2.79677490344944,1.9942228829325197,1.514949886292788,1.412110222026895,1.5794586417872618,1.7848399267150963,1.8911769477266553,1.9474502488938594,2.040985104064901,2.170362875742746,2.3111865531307156,2.5869760165256532,3.3049320607171677,4.79338540327784,6.922358766728911,8.772262828236403,9.262997107976945,8.136789974193867,6.102149004587334,4.103367215625897,2.66546894533015,1.8235809560403686,1.3885119883830488,1.1805269169687775,1.1120862901717687,1.1667017909772934,1.3484288768994903,1.6342673440396218,1.9395199699406303,2.1430097872916236,2.160915783728024,1.9916132551411174,1.6955356554815368,1.3608061678250294,1.0611265438161075,0.8389029783055507,0.7026837736953001,0.6338182765915104,0.6062149642297023,0.6020354882588128,0.6077331536871498,0.6095179600353493,0.6010335528504974,0.5855239945255668,0.5683271762342668,0.5529836570353577,0.5410687812086472,0.5317228510636345,0.5225855863258984,0.5086906074908977,0.4827892783621656,0.4427659099197502,0.39695779485830257,0.3576114807538122,0.3320407062455945,0.32057358576213196,0.31887228587711086,0.32011370176408405,0.31629120033426683,0.3021552056221792,0.27900803416510567,0.25394990754695285,0.23439148545318408,0.22312966454878708,0.21884849083142002,0.2193356271595259,0.22244977630198376,0.2264913460368995,0.23091540217776418,0.23531872365764497,0.23771115888959252,0.2352777637619239,0.2270755031608744,0.214879602631665,0.20187914660646292,0.19111186149729986,0.18445684704406753,0.18187037553989882,R,C,RC
A7,3.04043471956596,3.3928383716103903,14.219149318526819,12.128954614016418,13.890522364433387,15.161631631217247,14.876958831149018,13.80864652203275,14.010165537652336,16.64321482482092,20.048236932420828,21.061009057792457,18.470740147526026,14.296326173202452,11.557797231806223,11.423662871799086,12.660520442017852,13.215308604916615,12.030853733120082,9.574743584486047,7.013275480692524,5.18881269745043,4.267231601939868,3.997111632819507,3.9966873581040283,3.989680840290532,3.916796936075992,3.8176512434340952,3.80700589296049,4.016472622008879,4.466821238551893,5.064653749477283,5.655487354564355,6.089672268853014,6.252076698464264,6.112910121795272,5.768423581008364,5.376624220368595,5.122008061346535,5.098915937565727,5.127143759733662,4.978318916771777,4.641731441508243,4.3540306063842875,4.28845970972755,4.36480415697084,4.344548350728113,4.108202916747623,3.7902062141802304,3.673331087206728,3.9471798452217954,4.556700401607343,5.2820209319161195,5.878306054782422,6.118786466943626,5.86153481953379,5.158128224635715,4.235402050084509,3.3554310066859503,2.6855995915209494,2.2719985425657274,2.080349550031483,2.0426075940457316,2.087263147913553,2.1546118963734275,2.2064016266516395,2.2486470443284046,2.341216012378499,2.523285319818605,2.725926931472765,2.807871868358078,2.7014157215866486,2.468221665891235,2.2161767607852325,1.9917297529530926,1.7670593854905758,1.510669459685843,1.2313973354926793,0.9652150073687991,0.7424338720442164,0.5760203100769725,0.4667332619123598,0.406323269775876,0.3766373458011345,0.3555965364446654,0.3286204423100948,0.2947218800799459,0.26111386663211816,0.23420333843616004,0.21494614342106813,0.20098347603722416,0.19054758382703008,0.18330710190531,0.17843140794584975,0.17414895840698663,0.168928811100947,0.1624005652782509,0.15469940697098955,0.14580536301184782,0.13543533351402084,0.1244622549970612,0.11490234588762077,0.10902876154504913,R,C,RC
A8,2.802738798815985,3.42099932433063,14.261352861740969,11.95571256602606,13.0688633538974,13.166407534463783,11.887975893971143,10.130582609741422,8.936299289522879,8.687880139224749,8.971446537315243,9.040478351023406,8.5101467280471,7.767349517856744,7.570901465775289,8.135364221610006,8.923495934666125,9.337301329631272,9.30150300180195,9.110553726618472,8.92443596826736,8.560978870586077,7.748237404548582,6.558106278439796,5.421013237308226,4.747309103741017,4.577197020125628,4.572171233053048,4.426005995642112,4.238062634434948,4.435779273679995,5.305708691311234,6.556374419012044,7.469550296913848,7.521311314918718,6.810992047661364,5.895456513898368,5.368628973005891,5.5468490608513825,6.2404530137490575,6.789847899450244,6.704918851515968,6.062669152442511,5.359205262089779,4.941698575397731,4.75886225652042,4.55409631136249,4.23720466662594,3.992544601955638,4.104737641516391,4.716077308430443,5.724602892780486,6.8536134171464544,7.7625174806111,8.152985266775362,7.880430652965628,7.007342356154691,5.764849195185674,4.478620206838979,3.4608726505679934,2.8786053166699874,2.674161662932623,2.644244580500955,2.6204403179896345,2.5700253869782386,2.5616083892452655,2.7011270456062055,3.0893794049510697,3.7112993498087667,4.3438498621643795,4.6745583079700035,4.541291676916596,4.04045179769477,3.408612823216521,2.8251247898837275,2.330522899050164,1.8992903455999197,1.5218933784346231,1.2080549743387523,0.9587930974690264,0.7659699768753804,0.6266851406149542,0.5380294665460352,0.4851067105537291,0.444542197534701,0.4009064159346046,0.3545662801734907,0.31376793690926746,0.28350520728178574,0.2624078192853868,0.24704276348244208,0.23452638848573143,0.22257851408642404,0.2096415157747694,0.1955949208878369,0.18150252199008346,0.1684310173196331,0.15715025376334635,0.14836855475662697,0.1417584121396225,0.1361388049873676,0.13098367727132676,0.1272405304123556,R,C,RC
A9,2.963253112426815,3.309084603791535,14.255169109839585,9.450634479159191,7.073871109970332,5.527032250431362,4.3665717693407595,3.5810949025991046,3.4063807299978244,3.7788880580983437,4.1873186252458945,4.162411108549012,3.783343201737521,3.5020724910455083,3.5021061487894314,3.5110726072399174,3.2649451983517044,2.8619432413740795,2.5731465057278164,2.4874895043702705,2.4695297689741635,2.3782298658157814,2.2365849835667455,2.222749762413094,2.47279450045209,2.8552370476561775,3.0490923297260006,2.866860759684609,2.431040490934298,2.000453134864855,1.727196588178895,1.6006434791531028,1.5433121209489118,1.52153314591979,1.520398839383745,1.5078718603901586,1.4648648592313431,1.4233276605895575,1.4512988631468886,1.5823444768696413,1.7522547692151906,1.8344536360992465,1.7661932571317311,1.6079207602752241,1.4571809640875848,1.3420176081260657,1.2212586943701662,1.0715272404210945,0.9257792269616353,0.8276284636087986,0.7832238781162814,0.7669951977888715,0.7523238092153894,0.7278086069030757,0.6963606867267919,0.6638719946188901,0.6294779288674114,0.5900332048925959,0.5503287039347033,0.520953539347926,0.5087211211781938,0.5129175337558538,0.5250822530151221,0.5340956121673968,0.5381821932447314,0.5473622237989908,0.5704918116304961,0.6089641355239352,0.6613414105810251,0.71740063865413,0.7540619139396684,0.7492284531860642,0.7058763965207859,0.6488588191716834,0.5982186351909199,0.5536174678579832,0.5053459406453864,0.45397633421319683,0.41057514949948015,0.38241967261562865,0.36727174865596557,0.35748864852548473,0.34783836186151285,0.3343752820104211,0.31677960808601363,0.2986914439066668,0.2855248096586324,0.27991123551782,0.28030940637168694,0.28353588124591794,0.2872527903692022,0.2897911866100998,0.29096335324425376,0.2937229988024256,0.3019130555656349,0.31485336849902495,0.32691531015727676,0.332583261211268,0.3305472213991865,0.3225638116809349,0.31126627735255696,0.30020297601143475,0.293712821915529,R,C,RC
A10,1.4180965008049635,3.11344958320392,14.535062081874871,6.53713886424173,5.003753071069065,3.969996240063095,3.1368020111393515,2.4793149973899617,2.15221466343776,2.2048538793700048,2.430011692949927,2.5249917473085772,2.367701752768785,2.083795307955478,1.9002858968800482,1.935464843423454,2.102274016988464,2.2361611544429647,2.279735056560844,2.2719471998995164,2.2236037570213005,2.095494874477044,1.870187543935948,1.6050201471170942,1.4053936680388759,1.3320519852403292,1.3461803854078433,1.3672715296768274,1.357536371146376,1.3110108123149447,1.2146506085242819,1.0822106625934518,0.9782623604183533,0.9754744287906755,1.0687640492755919,1.2026334546449724,1.3568714238155963,1.5428092952142594,1.7427684848013454,1.899126026303017,1.9549855088494745,1.9009424775142285,1.7800871186938796,1.641453659940886,1.4942162476218679,1.3355437750217782,1.1765803237498191,1.0379594826009506,0.9273561230592755,0.8441323435839609,0.7970771479789469,0.7902165936962111,0.7979330185313164,0.780982769144317,0.7246905634781386,0.6464876342379104,0.5683673687781666,0.49817695634896125,0.4400100522930333,0.40224750297968714,0.38891431414535843,0.39426773252632075,0.4074075422399704,0.41934872911557075,0.4292302368845605,0.44459485132221804,0.4731966748540264,0.5146625800380237,0.5589276418275284,0.5923363098664409,0.6069154530188667,0.6015612572972896,0.5810604567161508,0.5518535632478172,0.5143903555525421,0.4647153680630514,0.40609795022335776,0.35011132286136637,0.3063506892883709,0.27419891086060766,0.2478472158041889,0.22455946026348242,0.20553967240563223,0.19149964984822526,0.1804123928678256,0.1697027162567219,0.15937011302230603,0.1515267073364811,0.14763682857107993,0.14711769053432283,0.1480744090608616,0.1488802619861382,0.14908642825307838,0.14881628902839186,0.14783431794041255,0.1456513683071919,0.14250788337903533,0.13926857131077783,0.13620663663328458,0.1328430423663178,0.12888644494453858,0.12530384589922364,0.12349393528493686,R,C,RC
